subject,session,trial,side_taken,takeoff_frame,n_preflight_calls,preflight_lat,n_zone1_calls,zone1_lat,n_junction_calls,junction_lat,junction_predicts_side,blocked,block_side,visibility
batA125,20260710,7,LEFT,12583.0,66.0,-0.0987727040566798,77.0,-0.09676812505384538,9.0,1.2917493802923774,1.0,0,,normal
batA125,20260710,8,RIGHT,12006.0,3.0,-0.33559448376175577,15.0,-0.10990523233721522,16.0,-0.5522745093212436,1.0,0,,normal
batA125,20260710,9,RIGHT,11942.0,42.0,-0.14018064241038852,51.0,-0.11527185822757584,15.0,-0.7427144309706712,1.0,0,,normal
batA125,20260710,10,LEFT,12193.0,41.0,-0.19701257420310617,49.0,-0.1768116225344914,7.0,1.0286647165754759,1.0,0,,normal
batA125,20260710,11,LEFT,12153.0,42.0,-0.20903643204774938,51.0,-0.18532828617524186,12.0,1.1877581830140416,1.0,0,,normal
batA125,20260710,12,RIGHT,12138.0,13.0,-0.1211555500214758,22.0,-0.08661116087025386,12.0,-0.90966094721813,1.0,0,,normal
batA125,20260710,13,RIGHT,12316.0,32.0,-0.2018840022868768,40.0,-0.17775047451612264,13.0,-0.9535517189620706,1.0,0,,normal
batA125,20260710,14,LEFT,12764.0,23.0,-0.04974699354153961,31.0,-0.06015506608155215,8.0,1.321097861092993,1.0,0,,normal
batA125,20260710,15,LEFT,12564.0,40.0,-0.1789560643862061,50.0,-0.15647736330829543,13.0,1.3006391673448985,1.0,0,,normal
batA125,20260710,16,LEFT,12383.0,45.0,-0.32808450427898866,54.0,-0.27947522603222397,10.0,1.2302926617540648,1.0,0,,normal
batA125,20260714,3,LEFT,11761.0,39.0,-0.15690509287105914,45.0,-0.13737014519362664,3.0,0.858676663384836,1.0,0,,normal
batA125,20260714,5,RIGHT,12302.0,29.0,-0.16011028888196055,36.0,-0.14165969442695284,4.0,-0.26207470126303334,1.0,1,LEFT,invisible
batA125,20260714,6,LEFT,12442.0,27.0,-0.1142635356614073,35.0,-0.10652725297872381,11.0,1.2777428034434115,1.0,0,,normal
batA125,20260714,7,RIGHT,12289.0,24.0,-0.1564661591783977,31.0,-0.13508703345575254,14.0,-0.9680490258582874,1.0,1,LEFT,visible
batA125,20260714,8,RIGHT,12195.0,30.0,-0.17397471563730002,37.0,-0.14633112606834628,17.0,-0.8670338595967774,1.0,1,LEFT,visible
batA125,20260714,10,RIGHT,12165.0,25.0,-0.2116092793965718,33.0,-0.17628820695596734,17.0,-1.0496692177293097,1.0,1,LEFT,visible
batA125,20260714,11,RIGHT,12301.0,32.0,-0.10141753985533711,40.0,-0.09270792711492955,11.0,-0.9952928733881176,1.0,1,LEFT,visible
batA125,20260714,12,LEFT,12342.0,24.0,-0.20668034633869858,31.0,-0.15878367217178285,12.0,1.2575794142115497,1.0,0,,normal
batA125,20260714,13,RIGHT,12250.0,34.0,-0.22143374087550424,42.0,-0.1940665902566088,13.0,-1.0735450139911884,1.0,1,LEFT,visible
batA125,20260714,14,RIGHT,12031.0,39.0,-0.09258254837756395,47.0,-0.08865681294437393,14.0,-0.8536876886395245,1.0,1,LEFT,visible
batA125,20260714,15,RIGHT,12253.0,37.0,-0.216811353372534,45.0,-0.1931076673633817,13.0,-1.1218139931503515,1.0,1,LEFT,visible
batA125,20260714,16,LEFT,12507.0,42.0,-0.2407121739119541,53.0,-0.20902835697853345,12.0,1.3647180322175076,1.0,0,,normal
batA125,20260720,4,LEFT,10720.0,73.0,-0.015483801318191376,82.0,-0.02348302811797374,9.0,1.040679000546274,1.0,0,,normal
batA125,20260720,6,LEFT,11177.0,41.0,-0.2619016606203938,50.0,-0.21984353217677352,9.0,1.3139782410763892,1.0,0,,normal
batA125,20260720,7,LEFT,11470.0,55.0,-0.00916382677179333,65.0,-0.01888424503710501,12.0,1.066427390080791,1.0,1,LEFT,visible
batA125,20260720,8,RIGHT,11809.0,42.0,-0.1952120143562491,51.0,-0.18314978314360256,11.0,-1.1492936264363978,1.0,1,LEFT,visible
batA125,20260720,9,LEFT,11974.0,50.0,-0.21353370597467847,59.0,-0.19412060161961908,10.0,1.1649885219894993,1.0,0,,normal
batA125,20260720,10,LEFT,5638.0,0.0,,54.0,-0.33390521898044523,11.0,1.2277580177456615,1.0,0,,normal
batA125,20260720,11,RIGHT,11500.0,44.0,0.020118513630507005,53.0,0.01155921029038187,12.0,-1.0953285130804906,1.0,1,LEFT,visible
batA125,20260720,12,LEFT,11895.0,31.0,-0.2469548077731242,40.0,-0.20690086320772644,11.0,0.9192770804000062,1.0,0,,normal
batA125,20260720,13,LEFT,11848.0,35.0,-0.24585700733015173,45.0,-0.21621716741061223,11.0,1.207178187146756,1.0,0,,normal
batA125,20260720,14,RIGHT,11575.0,33.0,-0.07554966958485149,42.0,-0.07502444314042113,13.0,-0.27835529317432495,1.0,1,LEFT,visible
batFB80,20260703,3,LEFT,12333.0,81.0,-0.0643764139632476,91.0,-0.06296617283928387,31.0,0.21315769552603175,1.0,0,,normal
batFB80,20260703,4,RIGHT,9918.0,86.0,0.03329577647293749,96.0,0.0043454557049007565,12.0,-1.2928955320759237,1.0,0,,normal
batFB80,20260703,5,LEFT,12156.0,59.0,0.058973572692669174,67.0,0.05337224650818357,19.0,0.8516721480291377,1.0,1,RIGHT,invisible
batFB80,20260703,6,RIGHT,10632.0,81.0,-0.1272220824582203,89.0,-0.1232204580131773,19.0,-1.2167863039901505,1.0,0,,normal
batFB80,20260703,7,RIGHT,12346.0,74.0,0.06349445299135617,82.0,0.0507107028985526,18.0,-1.4155834333926802,1.0,0,,normal
batFB80,20260703,9,RIGHT,11223.0,87.0,0.0342322782800373,99.0,0.014749889338033272,19.0,-1.0930271091563213,1.0,1,RIGHT,invisible
batFB80,20260703,10,RIGHT,8712.0,47.0,-0.007948688056389925,57.0,0.0017687920325243122,34.0,0.13122413814649292,0.0,1,RIGHT,invisible
batFB80,20260706,3,RIGHT,11565.0,70.0,-0.055106877563786495,86.0,-0.05611918629313693,17.0,-1.046060748051631,1.0,0,,normal
batFB80,20260706,4,RIGHT,11204.0,60.0,-0.15030480910007624,82.0,-0.04592795407883837,15.0,-0.9654440832744071,1.0,0,,normal
batFB80,20260706,5,,,,,,,,,,1,RIGHT,invisible
batFB80,20260706,6,LEFT,12555.0,92.0,-0.008838922339023251,104.0,-0.014018099555046125,17.0,0.933480253734405,1.0,1,RIGHT,invisible
batFB80,20260706,7,LEFT,11068.0,65.0,0.07087950487625144,84.0,0.07632420151548873,22.0,0.036461043488219394,1.0,1,RIGHT,invisible
batFB80,20260706,9,RIGHT,12424.0,97.0,0.0023930066117046137,109.0,-0.0025012839653295767,14.0,-1.3134023397552828,1.0,0,,normal
batFB80,20260714,3,RIGHT,11889.0,98.0,-0.033151667480057295,108.0,-0.03365553665945286,14.0,-1.2887632391497654,1.0,0,,normal
batFB80,20260714,5,RIGHT,12703.0,75.0,0.2222604108773941,84.0,0.1940225845918857,13.0,-1.562026580409024,1.0,0,,normal
batFB80,20260714,6,RIGHT,11996.0,72.0,0.23932798688407558,81.0,0.20811986099157356,13.0,-0.6244323112893889,1.0,1,RIGHT,invisible
batFB80,20260714,7,LEFT,11135.0,62.0,0.0008116080442672005,71.0,-0.007841731742326623,18.0,1.007543558133299,1.0,1,RIGHT,invisible
batFB80,20260714,8,LEFT,10836.0,99.0,0.14732783835188493,110.0,0.12798820492386606,16.0,1.3402935223339094,1.0,1,RIGHT,invisible
batFB80,20260714,9,LEFT,10643.0,57.0,0.2119138955044931,84.0,0.037342015560079135,14.0,1.3558998473185329,1.0,1,RIGHT,invisible
batFB80,20260714,10,LEFT,11296.0,74.0,0.1078487159364218,89.0,0.08699844569056035,14.0,1.360020698172386,1.0,1,RIGHT,invisible
batFB80,20260714,11,LEFT,10567.0,60.0,0.17986965885858705,70.0,0.14601762165798823,21.0,0.3002514618561923,1.0,1,RIGHT,invisible
batFB80,20260714,13,,,,,,,,,,1,RIGHT,invisible
batFB80,20260714,14,LEFT,11448.0,68.0,0.17436242601644963,76.0,0.14857304998947543,20.0,0.9789270757945318,1.0,1,RIGHT,invisible
batFB80,20260720,3,RIGHT,11919.0,71.0,-0.20637766890139922,77.0,-0.1956156734361757,14.0,-1.1630872359349882,1.0,0,,normal
batFB80,20260720,4,RIGHT,12163.0,65.0,0.18961346529211642,75.0,0.17694121879304833,14.0,-1.4688801743896556,1.0,0,,normal
batFB80,20260720,5,RIGHT,11753.0,83.0,0.24891740076856358,94.0,0.22110358541540628,13.0,-1.2171442294181203,1.0,0,,normal
batFB80,20260720,6,RIGHT,11572.0,72.0,-0.042797681132622334,81.0,-0.03221835301884252,13.0,-1.4533544734014643,1.0,1,RIGHT,visible
batFB80,20260720,7,RIGHT,11508.0,69.0,-0.03449956329379535,79.0,-0.03731647672732155,15.0,-1.498864853985725,1.0,1,RIGHT,visible
batFB80,20260720,8,RIGHT,11531.0,64.0,-0.007535383252329341,74.0,-0.01351867588832968,18.0,-1.3813689825501014,1.0,1,RIGHT,visible
batFB80,20260720,9,LEFT,11040.0,66.0,0.04932335767289231,80.0,0.0306588911926279,18.0,-0.46247487880181926,0.0,1,RIGHT,visible
batFB80,20260720,10,RIGHT,11972.0,75.0,0.1565108668944331,85.0,0.13546493493868145,14.0,-1.350847615228549,1.0,1,RIGHT,normal
